"filename", "language", "Python", "Batch", "Properties", "PowerShell", "Markdown", "XML", "JSON", "Objective-C", "C", "Makefile", "LaTeX", "C++", "HTML", "CSS", "JavaScript", "reStructuredText", "Ini", "comment", "blank", "total"
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\mouseinfo\__init__.py", "Python", 563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172, 167, 902
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\mouseinfo\__main__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\__config__.py", "Python", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 11, 120
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\__init__.py", "Python", 198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 175, 46, 419
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\__init__.pyi", "Python", 3875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 152, 353, 4380
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\_distributor_init.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 33
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\_globals.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 26, 130
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\_pytesttester.py", "Python", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117, 29, 209
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\_pytesttester.pyi", "Python", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"c:\Users\paganinik\OneDrive - Milwaukee School of Engineering\Documents\Sophmore Year\Spring Semester\Intro to AI\labs\lab_final_project\venv\Lib\site-packages\numpy\_version.py", "Python", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 6, 22
